Score: 0 | Time: 2024-07-12 21:22:52
Score: 2 | Time: 2024-07-16 16:02:13
Score: 1 | Time: 2024-07-16 16:02:16
Score: 1 | Time: 2024-07-16 16:02:20
Score: 13 | Time: 2024-07-16 16:02:47
Score: 0 | Time: 2024-07-16 16:02:55
Score: 2 | Time: 2024-07-16 16:03:01
Score: 4 | Time: 2024-07-16 16:03:10
Score: 4 | Time: 2024-07-16 17:29:10
Score: 1 | Time: 2024-07-16 17:29:19
Score: 0 | Time: 2024-07-16 17:29:21
Score: 1 | Time: 2024-07-16 17:29:24
Score: 0 | Time: 2024-07-16 17:29:27
Score: 0 | Time: 2024-07-16 17:29:30
Score: 0 | Time: 2024-07-16 17:29:33
Score: 2 | Time: 2024-07-16 17:29:40
Score: 4 | Time: 2024-07-16 18:07:38
Score: 3 | Time: 2024-07-16 18:07:45
Score: 3 | Time: 2024-07-16 18:07:54
Score: 4 | Time: 2024-07-16 18:08:02
Score: 2 | Time: 2024-07-16 18:08:08
Score: 4 | Time: 2024-07-16 18:08:16
Score: 3 | Time: 2024-07-16 18:20:31
Score: 0 | Time: 2024-07-16 18:23:08
Score: 3 | Time: 2024-07-16 18:23:37
Score: 2 | Time: 2024-07-16 18:33:07
Score: 6 | Time: 2024-07-16 18:35:44
Score: 4 | Time: 2024-07-17 02:33:23
Score: 0 | Time: 2024-07-17 02:33:26
Score: 6 | Time: 2024-07-17 02:33:40
Score: 0 | Time: 2024-07-17 02:33:43
Score: 5 | Time: 2024-07-17 02:33:54
Score: 2 | Time: 2024-07-17 02:34:01
Score: 1 | Time: 2024-07-17 02:34:07
Score: 3 | Time: 2024-07-17 02:34:14
Score: 3 | Time: 2024-07-17 02:34:22
Score: 4 | Time: 2024-07-17 02:34:33
Score: 1 | Time: 2024-07-17 02:34:37
Score: 11 | Time: 2024-07-17 02:34:58
Score: 2 | Time: 2024-07-17 02:35:04
Score: 2 | Time: 2024-07-17 02:35:08
Score: 2 | Time: 2024-07-17 02:35:15
Score: 2 | Time: 2024-07-17 02:35:19
Score: 7 | Time: 2024-07-17 02:35:36
Score: 0 | Time: 2024-07-17 02:35:38
Score: 1 | Time: 2024-07-17 02:35:43
Score: 0 | Time: 2024-07-17 02:35:45
Score: 2 | Time: 2024-07-17 02:35:50
Score: 6 | Time: 2024-07-17 02:36:04
Score: 2 | Time: 2024-07-17 02:36:09
Score: 6 | Time: 2024-07-17 02:36:21
Score: 2 | Time: 2024-07-17 02:36:27
Score: 1 | Time: 2024-07-17 02:36:30
Score: 2 | Time: 2024-07-17 02:36:35
Score: 1 | Time: 2024-07-17 02:36:39
Score: 0 | Time: 2024-07-17 02:36:41
Score: 3 | Time: 2024-07-17 02:36:48
Score: 2 | Time: 2024-07-17 02:36:53
Score: 1 | Time: 2024-07-17 02:36:57
Score: 1 | Time: 2024-07-17 02:37:02
Score: 1 | Time: 2024-07-17 02:37:07
Score: 15 | Time: 2024-07-17 02:37:36
Score: 1 | Time: 2024-07-17 02:39:01
Score: 3 | Time: 2024-07-17 02:39:12
Score: 1 | Time: 2024-07-17 02:39:16
Score: 19 | Time: 2024-07-17 02:39:54
Score: 8 | Time: 2024-07-17 02:41:28
Score: 3 | Time: 2024-07-17 02:50:37
Score: 3 | Time: 2024-07-17 02:50:47
Score: 0 | Time: 2024-07-17 02:50:50
Score: 2 | Time: 2024-07-17 02:50:55
Score: 5 | Time: 2024-07-17 02:51:05
Score: 1 | Time: 2024-07-17 02:51:10
Score: 2 | Time: 2024-07-17 02:51:16
Score: 2 | Time: 2024-07-17 02:51:23
Score: 0 | Time: 2024-07-17 02:51:26
Score: 1 | Time: 2024-07-17 02:51:29
Score: 3 | Time: 2024-07-17 02:51:35
Score: 2 | Time: 2024-07-17 02:51:42
Score: 0 | Time: 2024-07-17 02:51:45
Score: 3 | Time: 2024-07-17 02:51:54
Score: 1 | Time: 2024-07-17 02:51:59
Score: 2 | Time: 2024-07-17 02:52:05
Score: 2 | Time: 2024-07-17 02:52:12
Score: 0 | Time: 2024-07-17 02:52:15
Score: 3 | Time: 2024-07-17 02:52:23
Score: 1 | Time: 2024-07-17 02:52:26
Score: 13 | Time: 2024-07-17 02:52:52
Score: 0 | Time: 2024-07-17 02:52:54
Score: 2 | Time: 2024-07-17 02:52:59
Score: 3 | Time: 2024-07-17 02:53:05
Score: 5 | Time: 2024-07-17 02:53:18
Score: 3 | Time: 2024-07-17 18:49:33
Score: 1 | Time: 2024-07-17 18:49:52
Score: 2 | Time: 2024-07-17 18:49:58
Score: 0 | Time: 2024-07-17 18:50:00
Score: 3 | Time: 2024-07-17 18:50:08
Score: 0 | Time: 2024-07-17 18:54:08
Score: 2 | Time: 2024-07-17 18:54:15
Score: 0 | Time: 2024-07-17 18:54:18
Score: 1 | Time: 2024-07-17 18:54:22
Score: 3 | Time: 2024-07-17 18:54:31
Score: 3 | Time: 2024-07-17 18:54:45
Score: 1 | Time: 2024-07-17 18:54:56
Score: 3 | Time: 2024-07-17 18:55:05
Score: 1 | Time: 2024-07-17 18:55:13
Score: 1 | Time: 2024-07-17 18:55:17
Score: 1 | Time: 2024-07-17 18:55:20
Score: 1 | Time: 2024-07-17 18:55:23
Score: 5 | Time: 2024-07-17 18:55:36
Score: 1 | Time: 2024-07-17 18:55:55
Score: 1 | Time: 2024-07-17 18:56:00
Score: 7 | Time: 2024-07-17 21:15:22
Score: 1 | Time: 2024-07-17 21:15:29
Score: 15 | Time: 2024-07-17 21:15:58
Score: 4 | Time: 2024-07-20 02:15:52
Score: 1 | Time: 2024-07-20 02:15:57
Score: 1 | Time: 2024-07-20 02:16:01
Score: 3 | Time: 2024-07-20 02:16:10
Score: 4 | Time: 2024-07-20 02:16:20
Score: 5 | Time: 2024-07-20 02:16:32
Score: 3 | Time: 2024-07-20 02:16:39
Score: 0 | Time: 2024-07-20 02:16:42
Score: 11 | Time: 2024-07-20 02:17:05
Score: 3 | Time: 2024-07-20 02:18:17
Score: 4 | Time: 2024-07-20 02:18:28
Score: 1 | Time: 2024-07-20 02:18:32
Score: 8 | Time: 2024-07-20 02:18:48
Score: 5 | Time: 2024-07-20 02:19:00
Score: 3 | Time: 2024-07-20 02:19:07
Score: 1 | Time: 2024-07-20 02:19:10
Score: 2 | Time: 2024-07-20 02:19:15
Score: 1 | Time: 2024-07-20 02:19:19
Score: 0 | Time: 2024-07-20 02:19:22
Score: 1 | Time: 2024-07-20 02:19:27
Score: 5 | Time: 2024-07-20 02:19:38
Score: 4 | Time: 2024-07-20 02:19:51
